model,config,block,importance,lo,hi,p
RandomForest,4,SensorValueRAW,0.633459551187017,0.46068670653452864,0.9091934627962328,0.0
RandomForest,4,GEOMETRY_BLOCK,0.1557017415317915,0.10996168179960766,0.22823842578784187,0.0
RandomForest,5,Volume,0.09260904024520711,0.06502132305113342,0.143541964903387,0.0
RandomForest,5,Area,0.01822980572841948,0.006025339950352328,0.03206685869005779,0.005
RandomForest,5,MaxHeight,0.0065706920832020455,-0.0012037377699887608,0.015393379707382415,0.09
RandomForest,5,CenterDiviation,0.0004840559316976467,0.000281727318298744,0.0008335775941385349,0.0
RandomForest,5,UsedCoilArea,0.0014249152043747104,3.499694569407412e-05,0.003292099813623826,0.045
RandomForest,5,SensorTemp,0.00020932787856475787,8.297957357921714e-05,0.00042902372191290223,0.0
RandomForest,5,SensorValueRAW,0.6328631391411857,0.45982510340077903,0.909333119529254,0.0
RandomForest,5,GEOMETRY_BLOCK,0.15815734351605304,0.11212976481217067,0.2299150905963051,0.0
RandomForest,6,Volume,0.0924890913565315,0.0649155059236752,0.14339831382800297,0.0
RandomForest,6,Area,0.018238717083543854,0.006048356103531065,0.03204257525171287,0.005
RandomForest,6,MaxHeight,0.0065608336391161926,-0.0011757942262538039,0.01534100964826413,0.085
RandomForest,6,CenterDiviation,0.0004817436705996103,0.000279657191770763,0.000829271329670514,0.0
RandomForest,6,UsedCoilArea,0.0014299716665101547,5.628091448575678e-05,0.003279582375659211,0.035
RandomForest,6,SensorTemp,0.00020180107146394732,7.799761796825344e-05,0.00041799156627651823,0.0
RandomForest,6,SensorValueRAW,0.6328152717986146,0.45974890645150174,0.9095067222032381,0.0
RandomForest,6,GEOMETRY_BLOCK,0.15778961157600202,0.11201105968226034,0.22958711509626328,0.0
RandomForest,7,Volume,0.09308553902121364,0.0656265937937322,0.14471821588116243,0.0
RandomForest,7,Area,0.016359681043350616,0.004691234570545715,0.029100352373345132,0.01
RandomForest,7,MaxHeight,0.006651610207882075,-0.0010159161084662388,0.015226547843777185,0.08
RandomForest,7,CenterDiviation,0.00048293487935058277,0.000280133702464902,0.0008342897105162366,0.0
RandomForest,7,UsedCoilArea,0.0015287302251074664,0.0001682550833315727,0.003340408837585857,0.02
